Time=435731 X=12606.4 Y=4853.49
Time=436756 X=12805.3 Y=4635.34
Time=437777 X=13064.1 Y=4351.44
Time=438837 X=13064.1 Y=4351.44
Time=439853 X=13064.1 Y=4351.44
Time=440836 X=13064.1 Y=4351.44
Time=441900 X=13064.1 Y=4351.44
Time=442902 X=13064.1 Y=4351.44
Time=443942 X=13064.1 Y=4351.44
Time=444971 X=13064.1 Y=4351.44
Time=446065 X=13064.1 Y=4351.44
Time=447082 X=13064.1 Y=4351.44
Time=448110 X=13064.1 Y=4351.44
Time=449077 X=12985 Y=4593.04
Time=450255 X=12715.7 Y=4938.95
Time=451270 X=12553.8 Y=5146.88
Time=452305 X=12553.8 Y=5146.88
Time=453315 X=12553.8 Y=5146.88
Time=454351 X=12553.8 Y=5146.88
Time=455373 X=12553.8 Y=5146.88
Time=456409 X=12573.6 Y=5135.98
Time=457459 X=12925.9 Y=4942.02
Time=458493 X=12995.2 Y=4706.42
Time=459508 X=12796.2 Y=4387.88
Time=460562 X=12582.3 Y=4045.46
Time=461605 X=12330.1 Y=3735.62
Time=462633 X=12084.7 Y=3427.79
Time=463680 X=11861.4 Y=3094.84
Time=464704 X=11649.2 Y=2765.14
Time=465700 X=11378.2 Y=2589.09
Time=466727 X=11312 Y=2438
Time=467746 X=11312 Y=2438
Time=468754 X=11312 Y=2438
Time=469788 X=11312 Y=2438
Time=470817 X=11312 Y=2438
Time=471844 X=11312 Y=2438
Time=472838 X=11312 Y=2438
Time=473906 X=11312 Y=2438
Time=474942 X=11312 Y=2438
Time=476031 X=11312 Y=2438
Time=476968 X=11312 Y=2438
Time=478076 X=11312 Y=2438
Time=479046 X=11312 Y=2438
Time=480116 X=11312 Y=2438
Time=481154 X=11312 Y=2438
Time=482182 X=11312 Y=2438
Time=483207 X=11312 Y=2438
Time=484206 X=11312 Y=2438
Time=485312 X=11312 Y=2438
Time=486295 X=11345 Y=2495.96
Time=487348 X=11589.3 Y=2809.58
Time=488362 X=11828 Y=3115.99
Time=489387 X=12069.2 Y=3425.72
Time=490458 X=12321.3 Y=3749.36
Time=491518 X=12199.3 Y=3514.72
Time=492568 X=12059.4 Y=3246.66
Time=493577 X=11885.5 Y=2952.26
Time=494618 X=11682.4 Y=2608.43
Time=495669 X=11608.3 Y=2215.25
Time=496719 X=11658.4 Y=1831.55
Time=497773 X=11915.5 Y=1524.35
Time=498835 X=12224.5 Y=1255.22
Time=499849 X=12503.5 Y=980.912
Time=500862 X=12783.6 Y=708.184
Time=501918 X=12889.6 Y=604.994
Time=502954 X=12889.6 Y=604.994
Time=504002 X=12889.6 Y=604.994
Time=505012 X=12889.6 Y=604.994
Time=506144 X=12889.6 Y=604.994
Time=507150 X=12889.6 Y=604.994
Time=508200 X=12802.7 Y=937.642
Time=509136 X=12796.3 Y=995.129
Time=510292 X=12703.3 Y=1033
Time=511320 X=12477.7 Y=1159.16
Time=512363 X=12253.7 Y=1379.26
Time=513373 X=11972.6 Y=1510.4
Time=514415 X=12158.6 Y=1390.08
Time=515441 X=12520.1 Y=1235.78
Time=516483 X=12882.1 Y=1068.42
Time=517524 X=13043.1 Y=959.114
Time=518572 X=13043.1 Y=959.114
Time=519632 X=13043.1 Y=959.114
Time=520650 X=12876.6 Y=1044.17
Time=521691 X=12545.7 Y=1213.28
Time=522724 X=12190.7 Y=1394.69
Time=523740 X=11845.3 Y=1579.62
Time=524809 X=11608.7 Y=1912.69
Time=525860 X=11618.2 Y=2310.18
Time=526892 X=11734.6 Y=2679.56
Time=527907 X=11951.2 Y=3005.94
Time=528912 X=12125.1 Y=3268.01
Time=529920 X=11954.5 Y=3010.88
Time=530960 X=11734.2 Y=2678.96
Time=531947 X=11620.1 Y=2328.57
Time=532950 X=11589.4 Y=1944.11
Time=534001 X=11810.7 Y=1606.46
Time=535023 X=12162.4 Y=1432.18
Time=536082 X=12558.9 Y=1348.81
Time=537049 X=12918.3 Y=1416.23
Time=538157 X=13291.4 Y=1532.36
Time=539153 X=13565.5 Y=1467.89
Time=540170 X=13845.4 Y=1381.8
Time=541247 X=14147.1 Y=1309.98
Time=542262 X=14516.9 Y=1225.76
Time=543180 X=14853.9 Y=1125.37
Time=544323 X=15273.4 Y=1000.34
Time=545391 X=15486 Y=937
Time=546401 X=15486 Y=937
Time=547456 X=15486 Y=937
Time=548451 X=15486 Y=937
Time=549493 X=15486 Y=937
Time=550502 X=15247.1 Y=956.004
Time=551502 X=14995.8 Y=1090.69
Time=552563 X=14735 Y=1250
Time=553567 X=14710.2 Y=1265.17
Time=554632 X=14710.2 Y=1265.17
Time=555628 X=14710.2 Y=1265.17
Time=556639 X=14710.2 Y=1265.17
Time=557678 X=14710.2 Y=1265.17
Time=558698 X=14710.2 Y=1265.17
Time=559691 X=14721.8 Y=1250.42
Time=560692 X=14338.7 Y=1266.75
Time=561687 X=13957.9 Y=1282.98
Time=562694 X=13572.6 Y=1299.4
Time=563721 X=13179.5 Y=1316.15
Time=564765 X=12830 Y=1331.05
Time=565836 X=12444.4 Y=1360.26
Time=566798 X=12093.5 Y=1461.83
Time=567823 X=11763 Y=1660.67
Time=568873 X=11588.4 Y=2012.59
Time=569881 X=11627.2 Y=2396.99
Time=570946 X=11788.1 Y=2760.22
Time=571982 X=12007.6 Y=3090.87
Time=572968 X=12216.4 Y=3405.56
Time=574011 X=12384.9 Y=3659.5
Time=575005 X=12543.2 Y=3898.03
Time=575988 X=12699.7 Y=4133.92
Time=577043 X=12905 Y=4443.31
Time=578078 X=13124.2 Y=4773.64
Time=579088 X=13199.2 Y=4638.66
Time=580121 X=13299.2 Y=4255.8
Time=581155 X=13302.7 Y=4242.37
Time=582200 X=12984.9 Y=4485.74
Time=583191 X=12683.6 Y=4716.61
Time=584270 X=12355.5 Y=4967.99
Time=585379 X=12337 Y=4982.19
Time=586393 X=12260.6 Y=4661.37
Time=587400 X=12171.2 Y=4286.14
Time=588400 X=12082.5 Y=3913.52
Time=589415 X=11992.4 Y=3535.31
Time=590353 X=11909.2 Y=3185.79
Time=591465 X=11833.6 Y=2868.33
Time=592461 X=11791.4 Y=2691.26
Time=593500 X=11678.3 Y=2676.48
Time=594516 X=11388.2 Y=2638.57
Time=595531 X=11243.6 Y=2619.68
Time=596558 X=11288.8 Y=2490.56
Time=597594 X=11336.9 Y=2352.56
Time=598591 X=11259.5 Y=2252.28
Time=599611 X=11253 Y=2243.83
Time=600610 X=11493.6 Y=1964.26
Time=601649 X=11753.2 Y=1662.62
Time=602686 X=12037.2 Y=1385.08
Time=603675 X=12311.1 Y=1123.36
Time=604731 X=12603.6 Y=843.921
Time=605698 X=12871.4 Y=588.03
Time=606717 X=12910.3 Y=550.843
Time=607715 X=13200.8 Y=678.502
Time=608728 X=13556 Y=834.617
Time=609730 X=13907.4 Y=989.036
Time=610777 X=14274.6 Y=1150.39
Time=611808 X=14615.7 Y=1300.32
Time=612836 X=14615.7 Y=1300.32
Time=613856 X=14659.9 Y=1688.45
Time=614838 X=14686 Y=2063.68
Time=615897 X=14708.1 Y=2468.72
Time=616908 X=14767.5 Y=2850.99
Time=617885 X=14895.8 Y=3201.4
Time=618945 X=15008 Y=3419
Time=619945 X=15008 Y=3419
Time=620987 X=15008 Y=3419
Time=622035 X=15008 Y=3419
Time=623055 X=15008 Y=3419
Time=624093 X=15008 Y=3419
Time=625087 X=14943.6 Y=3202.78
Time=626202 X=14781.7 Y=2807.81
Time=627581 X=14746.7 Y=2727.38
Time=628617 X=14746.7 Y=2727.38
Time=629667 X=14746.7 Y=2727.38
Time=630920 X=14746.7 Y=2727.38
Time=631936 X=14746.7 Y=2727.38
Time=632926 X=14746.7 Y=2727.38
Time=634004 X=14746.7 Y=2727.38
Time=635029 X=14746.7 Y=2727.38
Time=636056 X=14746.7 Y=2727.38
Time=637162 X=14818.3 Y=2672.82
Time=638231 X=15000.1 Y=2534.23
Time=639255 X=15000.1 Y=2534.23
Time=640326 X=15000.1 Y=2534.23
Time=641351 X=15000.1 Y=2534.23
Time=642385 X=15000.1 Y=2534.23
Time=643422 X=15000.1 Y=2534.23
Time=644519 X=15000.1 Y=2534.23
Time=645505 X=15000.1 Y=2534.23
Time=646572 X=15000.1 Y=2534.23
Time=647601 X=15000.1 Y=2534.23
Time=648629 X=15000.1 Y=2534.23
Time=649732 X=14980.1 Y=2377.7
Time=650783 X=14972.2 Y=2191.16
Time=651806 X=14958.5 Y=2057.03
Time=652802 X=14958.5 Y=2057.03
Time=653845 X=14958.5 Y=2057.03
Time=654869 X=14958.5 Y=2057.03
Time=655971 X=15027.6 Y=2140.44
Time=656976 X=15212.2 Y=2363.39
Time=658013 X=15402.6 Y=2593.43
Time=659085 X=15549.9 Y=2771.35
Time=660157 X=15549.9 Y=2771.35
Time=661183 X=15372.3 Y=2666.48
Time=662231 X=15035.1 Y=2448.61
Time=663266 X=14702.1 Y=2233.44
Time=664235 X=14390.4 Y=2031.98
Time=665340 X=14034.9 Y=1802.26
Time=666393 X=13665.4 Y=1648.77
Time=667479 X=13268.3 Y=1525.14
Time=668513 X=12890.1 Y=1407.44
Time=669567 X=12550.9 Y=1349.61
Time=670559 X=12197.6 Y=1417.4
Time=671590 X=11838 Y=1585.3
Time=672619 X=11558.4 Y=1866.57
Time=673678 X=11278.3 Y=2164.16
Time=674752 X=11013 Y=2446
Time=675763 X=11143.4 Y=2307.46
Time=676830 X=11425.6 Y=2007.63
Time=677864 X=11698.9 Y=1717.33
Time=678874 X=12010.7 Y=1497.45
Time=679900 X=12379 Y=1366.8
Time=680911 X=12760.6 Y=1367.14
Time=681970 X=13147.9 Y=1487.69
Time=682962 X=13504.1 Y=1598.56
Time=684047 X=13888.1 Y=1718.06
Time=685034 X=14161.6 Y=1974.31
Time=686126 X=14443.6 Y=2283.21
Time=687192 X=14718.9 Y=2584.75
Time=688194 X=14729.7 Y=2596.55
Time=689182 X=15054.7 Y=2464.43
Time=690254 X=15056 Y=2463.9
Time=691311 X=15345.9 Y=2635.19
Time=692302 X=15591.7 Y=2780.28
