Time=1831217 X=17571.2 Y=13371.7
Time=1832229 X=17925.1 Y=13529.9
Time=1833243 X=18277.4 Y=13693.5
Time=1834262 X=18593.2 Y=13806.8
Time=1835312 X=18965.7 Y=13959
Time=1836312 X=19320.2 Y=14103.9
Time=1837301 X=19670.9 Y=14247.2
Time=1838330 X=20036.1 Y=14396.5
Time=1839339 X=20393.8 Y=14542.8
Time=1840365 X=20777.8 Y=14626.3
Time=1841412 X=21169.7 Y=14711.6
Time=1842425 X=21513.7 Y=14757.5
Time=1843421 X=21865.1 Y=14680.8
Time=1844453 X=22251.3 Y=14596.5
Time=1845480 X=22516.3 Y=14818.9
Time=1846484 X=22659.2 Y=15175.9
Time=1847506 X=22705.8 Y=15264.1
Time=1848501 X=22757.4 Y=15346.8
Time=1849508 X=22770.5 Y=15367.9
Time=1850514 X=22770.5 Y=15367.9
Time=1851529 X=22770.5 Y=15367.9
Time=1852528 X=22770.5 Y=15367.9
Time=1853549 X=22770.5 Y=15367.9
Time=1854571 X=22770.5 Y=15367.9
Time=1855575 X=22791.5 Y=15443.6
Time=1856626 X=22753 Y=15744
Time=1857672 X=22411 Y=15615
Time=1858701 X=22411 Y=15615
Time=1859707 X=22411 Y=15615
Time=1860726 X=22411 Y=15615
Time=1861757 X=22298.7 Y=15539
Time=1862792 X=21970.1 Y=15317.2
Time=1863919 X=21807.7 Y=15043.7
Time=1864941 X=22045.6 Y=14732.9
Time=1865970 X=22351.3 Y=14592
Time=1866997 X=22351.3 Y=14592
Time=1867983 X=22222.2 Y=14602.9
Time=1868993 X=21887.1 Y=14676
Time=1870024 X=21501.3 Y=14760.2
Time=1871036 X=21117.9 Y=14727.3
Time=1872048 X=20733.8 Y=14675.2
Time=1873041 X=20953.6 Y=14696.7
Time=1874069 X=21342.8 Y=14756.1
Time=1875081 X=21722.8 Y=14711.8
Time=1876111 X=22108.3 Y=14627.7
Time=1877153 X=22436.4 Y=14607.9
Time=1878170 X=22807.1 Y=14694.1
Time=1879182 X=23184.6 Y=14782
Time=1880183 X=23558.1 Y=14868.8
Time=1881188 X=23933 Y=14956
Time=1882202 X=24311.3 Y=15044
Time=1883210 X=24541.5 Y=15103.3
Time=1884217 X=24180.7 Y=15239.8
Time=1885245 X=23810.7 Y=15379.8
Time=1886254 X=23449.2 Y=15516.5
Time=1887283 X=23080.6 Y=15656
Time=1888300 X=22707 Y=15744
Time=1889319 X=22358.3 Y=15581.5
Time=1890346 X=22070.3 Y=15400.5
Time=1891368 X=21738.9 Y=15192.1
Time=1892416 X=21454 Y=15013
Time=1893415 X=21106.3 Y=14853.7
Time=1894432 X=20750.2 Y=14695.7
Time=1895456 X=20391.7 Y=14536.7
Time=1896460 X=20040.1 Y=14380.7
Time=1897474 X=19685 Y=14223.2
Time=1898506 X=19350.9 Y=14075
Time=1899496 X=19029.4 Y=13932.4
Time=1900589 X=18646.7 Y=13762.7
Time=1901578 X=18300.2 Y=13608.9
Time=1902585 X=17947.6 Y=13452.5
Time=1903609 X=17588.9 Y=13293.4
Time=1904629 X=17231.7 Y=13135
Time=1905643 X=16922.8 Y=12959.7
Time=1906669 X=16580.3 Y=12767.1
Time=1907682 X=16315.6 Y=12618.2
Time=1908681 X=16006.7 Y=12444.5
Time=1909699 X=15666.9 Y=12253.3
Time=1910723 X=15325 Y=12061.1
Time=1911731 X=14988.5 Y=11871.8
Time=1912760 X=14644.9 Y=11678.6
Time=1913770 X=14307.7 Y=11488.9
Time=1914792 X=13966.5 Y=11297.1
Time=1915808 X=13627.3 Y=11106.3
Time=1916819 X=13474.9 Y=10879.5
Time=1917840 X=13325.3 Y=10518.2
Time=1918829 X=13180.4 Y=10168.1
Time=1919837 X=13032.7 Y=9811.4
Time=1920863 X=12882.4 Y=9448.28
Time=1921863 X=12735.9 Y=9094.36
Time=1922873 X=12588 Y=8736.9
Time=1923904 X=12436.9 Y=8372.01
Time=1924922 X=12300.5 Y=8042.37
Time=1925937 X=12162.8 Y=7709.75
Time=1926947 X=12024.6 Y=7402.56
Time=1927962 X=11879 Y=7042.06
Time=1928973 X=11734 Y=6682.98
Time=1929971 X=11522.1 Y=6367.79
Time=1930982 X=11263.9 Y=6079.93
Time=1932001 X=10969.9 Y=5832.62
Time=1933024 X=10589.8 Y=5752.42
Time=1934039 X=10369.9 Y=5754.52
Time=1935051 X=10369.9 Y=5754.52
Time=1936060 X=10369.9 Y=5754.52
Time=1937066 X=10369.9 Y=5754.52
Time=1938065 X=10369.9 Y=5754.52
Time=1939083 X=10369.9 Y=5754.52
Time=1940127 X=10369.9 Y=5754.52
Time=1941114 X=10369.9 Y=5754.52
Time=1942121 X=10369.9 Y=5754.52
Time=1943093 X=10369.9 Y=5754.52
Time=1944174 X=10369.9 Y=5754.52
Time=1945234 X=10369.9 Y=5754.52
Time=1946238 X=10369.9 Y=5754.52
Time=1947262 X=10369.9 Y=5754.52
Time=1948314 X=10369.9 Y=5754.52
Time=1949334 X=10369.9 Y=5754.52
Time=1950356 X=10369.9 Y=5754.52
Time=1951392 X=10585.4 Y=5689.08
Time=1952401 X=10955.2 Y=5576.8
Time=1953413 X=11251 Y=5487
Time=1954438 X=11251 Y=5487
Time=1955457 X=11251 Y=5487
Time=1956455 X=11251 Y=5487
Time=1957466 X=11251 Y=5487
Time=1958539 X=11251 Y=5487
Time=1959516 X=10995.8 Y=5503.04
Time=1960607 X=10682.2 Y=5522.74
Time=1961589 X=10407.4 Y=5568.1
Time=1962612 X=10061.3 Y=5743.05
Time=1963625 X=9721.34 Y=5928.57
Time=1964661 X=9399.59 Y=6160.85
Time=1965652 X=9091.82 Y=6383.04
Time=1966674 X=8736.92 Y=6538.68
Time=1967684 X=8360.56 Y=6606.87
Time=1968721 X=8301.9 Y=6603.33
Time=1969737 X=8301.9 Y=6603.33
Time=1970745 X=8301.9 Y=6603.33
Time=1971776 X=8301.9 Y=6603.33
Time=1972789 X=8301.9 Y=6603.33
Time=1973800 X=8301.9 Y=6603.33
Time=1974806 X=8301.9 Y=6603.33
Time=1975812 X=8301.9 Y=6603.33
Time=1976822 X=8301.9 Y=6603.33
Time=1977842 X=8301.9 Y=6603.33
Time=1978869 X=8301.9 Y=6603.33
Time=1979864 X=8230.71 Y=6629.72
Time=1980880 X=7986.14 Y=6790.34
Time=1981885 X=7976 Y=6797
Time=1982900 X=7976 Y=6797
Time=1983907 X=7976 Y=6797
Time=1984904 X=8003.72 Y=6784.86
Time=1985935 X=8318.44 Y=6555.47
Time=1986955 X=8520.29 Y=6220.07
Time=1987957 X=8388.44 Y=6196.37
Time=1988989 X=8236.47 Y=6191.4
Time=1990017 X=8236.47 Y=6191.4
Time=1991078 X=8236.47 Y=6191.4
Time=1992086 X=8045.76 Y=6390.78
Time=1993120 X=7913 Y=6551
Time=1994140 X=7913 Y=6551
Time=1995148 X=7913 Y=6551
Time=1996156 X=7913 Y=6551
Time=1997192 X=7913 Y=6551
Time=1998201 X=8112.75 Y=6420.75
Time=1999236 X=8195.05 Y=6261.67
Time=2000232 X=7833.85 Y=6138.86
Time=2001230 X=7475.94 Y=6005.1
Time=2002245 X=7131.44 Y=5825.47
Time=2003242 X=6806.25 Y=5625.24
Time=2004283 X=6466.73 Y=5416.14
Time=2005330 X=6381.93 Y=5363.91
Time=2006326 X=6381.93 Y=5363.91
Time=2007267 X=6381.93 Y=5363.91
Time=2008350 X=6381.93 Y=5363.91
Time=2009365 X=6381.93 Y=5363.91
Time=2010389 X=6381.93 Y=5363.91
Time=2011421 X=6381.93 Y=5363.91
Time=2012413 X=6381.93 Y=5363.91
Time=2013436 X=6381.93 Y=5363.91
Time=2014490 X=6381.93 Y=5363.91
Time=2015516 X=6381.93 Y=5363.91
Time=2016511 X=6381.93 Y=5363.91
Time=2017516 X=6381.93 Y=5363.91
Time=2018521 X=6381.93 Y=5363.91
Time=2019660 X=6085.31 Y=5441.97
Time=2020627 X=5981.98 Y=5469.16
Time=2021679 X=5981.98 Y=5469.16
Time=2022693 X=5981.98 Y=5469.16
Time=2023726 X=5981.98 Y=5469.16
Time=2024762 X=5981.98 Y=5469.16
Time=2025745 X=5981.98 Y=5469.16
Time=2026741 X=5981.98 Y=5469.16
Time=2027763 X=5981.98 Y=5469.16
Time=2028792 X=5885.37 Y=5790.86
Time=2029816 X=5772.56 Y=6166.52
Time=2030836 X=5653.96 Y=6536.89
Time=2031854 X=5362.01 Y=6795.37
Time=2032888 X=5191.95 Y=6945.94
Time=2033885 X=5191.95 Y=6945.94
Time=2034900 X=5191.95 Y=6945.94
Time=2035939 X=5191.95 Y=6945.94
Time=2036936 X=5191.95 Y=6945.94
Time=2037974 X=5191.95 Y=6945.94
Time=2038990 X=5191.95 Y=6945.94
Time=2040029 X=5191.95 Y=6945.94
Time=2041070 X=5191.95 Y=6945.94
Time=2042113 X=5191.95 Y=6945.94
Time=2043116 X=5191.95 Y=6945.94
Time=2044132 X=5191.95 Y=6945.94
