Time=3385031 X=-8435.72 Y=9481.27
Time=3385984 X=-8241.24 Y=9297.98
Time=3387054 X=-8011 Y=9081
Time=3388036 X=-7714.89 Y=8906.16
Time=3389156 X=-7339.15 Y=8699.11
Time=3390149 X=-7006.03 Y=8515.53
Time=3391143 X=-6973.46 Y=8564.05
Time=3392228 X=-7198.54 Y=8913.42
Time=3393342 X=-7429.63 Y=9272.14
Time=3394322 X=-7640.87 Y=9567.68
Time=3395502 X=-7848.49 Y=9968.37
Time=3396509 X=-7970.66 Y=10334
Time=3397509 X=-8088.24 Y=10698.1
Time=3398521 X=-8259.4 Y=11045.8
Time=3399549 X=-8431.39 Y=11384.7
Time=3400664 X=-8590.24 Y=11697.8
Time=3401686 X=-8831.21 Y=11982.2
Time=3402691 X=-9189.72 Y=12118.7
Time=3403726 X=-9579.65 Y=12172.2
Time=3404836 X=-9794.42 Y=12179
Time=3405827 X=-9794.42 Y=12179
Time=3406877 X=-9794.42 Y=12179
Time=3407893 X=-9794.42 Y=12179
Time=3409252 X=-9748.6 Y=12055.4
Time=3410338 X=-9646.22 Y=11652.3
Time=3411300 X=-9474.14 Y=11355.9
Time=3412417 X=-9074.19 Y=11220
Time=3413382 X=-8709 Y=11224.3
Time=3414483 X=-8884.02 Y=11200.5
Time=3415487 X=-9264.86 Y=11258
Time=3416491 X=-9595.03 Y=11443.8
Time=3417526 X=-9721.94 Y=11820.3
Time=3418523 X=-9836.96 Y=12161.5
Time=3419569 X=-9836.96 Y=12161.5
Time=3420497 X=-9634 Y=11869.7
Time=3421582 X=-9510.05 Y=11691.5
Time=3422634 X=-9510.05 Y=11691.5
Time=3423686 X=-9510.05 Y=11691.5
Time=3424671 X=-9579.8 Y=11871.6
Time=3425745 X=-9445.95 Y=12237.1
Time=3426789 X=-9295.33 Y=12243.7
Time=3427780 X=-9149.29 Y=12024.7
Time=3428780 X=-9149.29 Y=12024.7
Time=3429842 X=-9149.29 Y=12024.7
Time=3430802 X=-9149.29 Y=12024.7
Time=3431870 X=-9149.29 Y=12024.7
Time=3432733 X=-9149.29 Y=12024.7
Time=3433903 X=-9069.76 Y=12160.2
Time=3434901 X=-8776.62 Y=12347.3
Time=3435923 X=-8581.28 Y=12087.8
Time=3436994 X=-8360.75 Y=11741.9
Time=3438012 X=-8151.13 Y=11413.1
Time=3438998 X=-7948.09 Y=11094.6
Time=3440052 X=-7740.31 Y=10768.7
Time=3441126 X=-7519.16 Y=10421.8
Time=3442163 X=-7305.63 Y=10086.9
Time=3443174 X=-7097.45 Y=9760.32
Time=3444213 X=-6883.5 Y=9424.73
Time=3445189 X=-6801.95 Y=9296.82
Time=3446313 X=-6801.95 Y=9296.82
Time=3447305 X=-6801.95 Y=9296.82
